hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Hotel California Center Medellin,COP 160.000,"Puntuación: 7,2
7,2",Bien,48,Medellin,2024-11-12,2024-11-13
Hotel San Juan 70 Medellin,COP 81.000,"Puntuación: 6,7
6,7",Puntuación,234,Medellin,2024-11-12,2024-11-13
HASHTAG 98 HOTEL,COP 281.040,"Puntuación: 8,4
8,4",Muy bien,1.994,Medellin,2024-11-12,2024-11-13
Naiot Hotel Boutique,COP 137.600,"Puntuación: 8,6
8,6",Fabuloso,88,Medellin,2024-11-12,2024-11-13
31 BELLO APARTAMENTO CON BALCON EN LAURELES ESTADIO,COP 120.000,"Puntuación: 8,1
8,1",Muy bien,15,Medellin,2024-11-12,2024-11-13
Hotel Villa Real,COP 49.500,"Puntuación: 6,9
6,9",Puntuación,1.960,Medellin,2024-11-12,2024-11-13
Manila Hotel Boutique,COP 179.000,"Puntuación: 8,5
8,5",Muy bien,1.245,Medellin,2024-11-12,2024-11-13
Hotel Suramericana,COP 108.000,"Puntuación: 7,3
7,3",Bien,2.120,Medellin,2024-11-12,2024-11-13
Hotel Gran Imperio,COP 51.620,"Puntuación: 7,0
7,0",Bien,1.704,Medellin,2024-11-12,2024-11-13
Hotel Boutique Laureles Medellin (HBL),COP 144.400,"Puntuación: 8,7
8,7",Fabuloso,503,Medellin,2024-11-12,2024-11-13
Hotel Aura Medellin,COP 74.700,"Puntuación: 7,3
7,3",Bien,1.170,Medellin,2024-11-12,2024-11-13
Hotel Palma 70,COP 131.400,"Puntuación: 8,5
8,5",Muy bien,964,Medellin,2024-11-12,2024-11-13
Hotel Spa Laureles,COP 48.000,"Puntuación: 7,2
7,2",Bien,322,Medellin,2024-11-12,2024-11-13
Hotel Gran Conquistador 33,COP 109.380,"Puntuación: 7,0
7,0",Bien,2.125,Medellin,2024-11-12,2024-11-13
EcoHub Hotel Medellin,COP 288.920,"Puntuación: 8,9
8,9",Fabuloso,1.692,Medellin,2024-11-12,2024-11-13
RG33 ApartaSuites,COP 109.000,"Puntuación: 9,1
9,1",Fantástico,11,Medellin,2024-11-12,2024-11-13
Mandala Hotel Belen,COP 99.000,"Puntuación: 7,8
7,8",Bien,1.089,Medellin,2024-11-12,2024-11-13
El Tesoro Medellín Hab310 by Letoh,COP 198.000,"Puntuación: 9,0
9,0",Fantástico,9,Medellin,2024-11-12,2024-11-13
Vita Hotel Boutique,COP 183.000,"Puntuación: 8,8
8,8",Fabuloso,601,Medellin,2024-11-12,2024-11-13
Heiss Hotel,COP 303.540,"Puntuación: 8,7
8,7",Fabuloso,87,Medellin,2024-11-12,2024-11-13
HOTEL ESTADIO DORADO,COP 104.400,"Puntuación: 8,5
8,5",Muy bien,185,Medellin,2024-11-12,2024-11-13
Hotel Nakama,COP 111.080,"Puntuación: 7,7
7,7",Bien,324,Medellin,2024-11-12,2024-11-13
Estadio Apartamentos,COP 100.000,"Puntuación: 8,1
8,1",Muy bien,75,Medellin,2024-11-12,2024-11-13
Hotel Buenos Aires Central,COP 55.800,"Puntuación: 7,8
7,8",Bien,124,Medellin,2024-11-12,2024-11-13
Greenview Medellin By St Hoteles,COP 204.000,"Puntuación: 8,5
8,5",Muy bien,1.374,Medellin,2024-11-12,2024-11-13
