hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
HOTEL Mirador Cielo Blue,COP 195.980,"Puntuación: 8,1
8,1",Muy bien,26,EL PEÑOL,2025-02-11,2025-02-12
Hotel Nova El Peñol,COP 184.000,"Puntuación: 9,1
9,1",Fantástico,93,EL PEÑOL,2025-02-11,2025-02-12
Eden Hotel,COP 100.000,"Puntuación: 8,5
8,5",Muy bien,34,EL PEÑOL,2025-02-11,2025-02-12
Finca Visionaria Con Jacuzzi Magico,COP 130.000,"Puntuación: 9,5
9,5",Excepcional,102,EL PEÑOL,2025-02-11,2025-02-12
San Antonio,COP 132.000,"Puntuación: 10
10",Excepcional,4,EL PEÑOL,2025-02-11,2025-02-12
Cómodo apartament tipo loft en El Peñol,COP 140.000,"Puntuación: 9,3
9,3",Fantástico,6,EL PEÑOL,2025-02-11,2025-02-12
Cabaña del Embalse con vista espectacular y Starlink,COP 180.000,"Puntuación: 9,7
9,7",Excepcional,19,EL PEÑOL,2025-02-11,2025-02-12
KABINE,COP 380.800,"Puntuación: 9,6
9,6",Excepcional,31,EL PEÑOL,2025-02-11,2025-02-12
Glamping Samadhi - el Peñol,COP 161.500,"Puntuación: 9,7
9,7",Excepcional,3,EL PEÑOL,2025-02-11,2025-02-12
Bramasole Hotel Boutique - El Peñol,COP 170.000,"Puntuación: 9,0
9,0",Fantástico,12,EL PEÑOL,2025-02-11,2025-02-12
Cabaña con jacuzzi y acceso al embalse Portum III,COP 400.000,"Puntuación: 9,5
9,5",Excepcional,6,EL PEÑOL,2025-02-11,2025-02-12
HOTEL EL POTRILLO,COP 220.000,"Puntuación: 8,1
8,1",Muy bien,65,EL PEÑOL,2025-02-11,2025-02-12
Breeze Glamping -Guatape,COP 430.000,"Puntuación: 9,8
9,8",Excepcional,68,EL PEÑOL,2025-02-11,2025-02-12
Cabaña con jacuzzi y acceso al embalse - Portum II,COP 400.000,"Puntuación: 8,8
8,8",Fabuloso,5,EL PEÑOL,2025-02-11,2025-02-12
Finca 3 - Dakeva,COP 292.500,"Puntuación: 7,3
7,3",Bien,4,EL PEÑOL,2025-02-11,2025-02-12
"Magic View El peñol, Guatapé",COP 360.000,No disponible,No disponible,No disponible,EL PEÑOL,2025-02-11,2025-02-12
Hotel Muelle De María ángel,COP 180.000,"Puntuación: 4,0
4,0",Puntuación,3,EL PEÑOL,2025-02-11,2025-02-12
Villa Amore,COP 400.000,"Puntuación: 8,5
8,5",Muy bien,4,EL PEÑOL,2025-02-11,2025-02-12
Chalet Peñol Jacuzzi,COP 414.000,"Puntuación: 8,5
8,5",Muy bien,2,EL PEÑOL,2025-02-11,2025-02-12
Cabaña de lujo Jacuzzi vista y acceso a la represa,COP 736.000,No disponible,No disponible,No disponible,EL PEÑOL,2025-02-11,2025-02-12
Cabaña Las Flores en Guatapé,COP 700.000,No disponible,No disponible,No disponible,EL PEÑOL,2025-02-11,2025-02-12
Cabaña con jacuzzi y acceso al embalse - Portum I,COP 450.000,"Puntuación: 9,7
9,7",Excepcional,3,EL PEÑOL,2025-02-11,2025-02-12
Villa San Juan,COP 440.000,"Puntuación: 9,5
9,5",Excepcional,2,EL PEÑOL,2025-02-11,2025-02-12
Cabaña La Capilla El Peñol,COP 250.000,"Puntuación: 10
10",Excepcional,3,EL PEÑOL,2025-02-11,2025-02-12
Cabaña Refugio de Ángeles,COP 508.500,"Puntuación: 9,0
9,0",Fantástico,2,EL PEÑOL,2025-02-11,2025-02-12
Hotel Nova El Peñol,COP 184.000,"Puntuación: 9,1
9,1",Fantástico,93,El peñol,2025-02-11,2025-02-12
HOTEL Mirador Cielo Blue,COP 195.980,"Puntuación: 8,1
8,1",Muy bien,26,El peñol,2025-02-11,2025-02-12
Breeze Glamping -Guatape,COP 430.000,"Puntuación: 9,8
9,8",Excepcional,68,El peñol,2025-02-11,2025-02-12
Finca Visionaria Con Jacuzzi Magico,COP 130.000,"Puntuación: 9,5
9,5",Excepcional,102,El peñol,2025-02-11,2025-02-12
HOTEL EL POTRILLO,COP 220.000,"Puntuación: 8,1
8,1",Muy bien,65,El peñol,2025-02-11,2025-02-12
Bramasole Hotel Boutique - El Peñol,COP 170.000,"Puntuación: 9,0
9,0",Fantástico,12,El peñol,2025-02-11,2025-02-12
Eden Hotel,COP 100.000,"Puntuación: 8,5
8,5",Muy bien,34,El peñol,2025-02-11,2025-02-12
San Antonio,COP 132.000,"Puntuación: 10
10",Excepcional,4,El peñol,2025-02-11,2025-02-12
Cabaña del Embalse con vista espectacular y Starlink,COP 180.000,"Puntuación: 9,7
9,7",Excepcional,19,El peñol,2025-02-11,2025-02-12
KABINE,COP 380.800,"Puntuación: 9,6
9,6",Excepcional,31,El peñol,2025-02-11,2025-02-12
Cómodo apartament tipo loft en El Peñol,COP 140.000,"Puntuación: 9,3
9,3",Fantástico,6,El peñol,2025-02-11,2025-02-12
Glamping Samadhi - el Peñol,COP 161.500,"Puntuación: 9,7
9,7",Excepcional,3,El peñol,2025-02-11,2025-02-12
Villa Amore,COP 400.000,"Puntuación: 8,5
8,5",Muy bien,4,El peñol,2025-02-11,2025-02-12
Villas Julieta,COP 300.000,"Puntuación: 10
10",Excepcional,1,El peñol,2025-02-11,2025-02-12
Chalet Glamping Eco Foret,COP 360.000,No disponible,No disponible,No disponible,El peñol,2025-02-11,2025-02-12
Cabaña de lujo Jacuzzi vista y acceso a la represa,COP 736.000,No disponible,No disponible,No disponible,El peñol,2025-02-11,2025-02-12
"Finca Palma de Coco, Municipio de el Peñol Antioquia",COP 540.000,"Puntuación: 10
10",Excepcional,1,El peñol,2025-02-11,2025-02-12
Cabaña con jacuzzi y acceso al embalse - Portum II,COP 400.000,"Puntuación: 8,8
8,8",Fabuloso,5,El peñol,2025-02-11,2025-02-12
"Magic View El peñol, Guatapé",COP 360.000,No disponible,No disponible,No disponible,El peñol,2025-02-11,2025-02-12
Cabaña con jacuzzi y acceso al embalse Portum III,COP 400.000,"Puntuación: 9,5
9,5",Excepcional,6,El peñol,2025-02-11,2025-02-12
Finca La Marina El peñol Guatape,COP 441.000,No disponible,No disponible,No disponible,El peñol,2025-02-11,2025-02-12
Finca 3 - Dakeva,COP 292.500,"Puntuación: 7,3
7,3",Bien,4,El peñol,2025-02-11,2025-02-12
Cabaña Refugio de Ángeles,COP 508.500,"Puntuación: 9,0
9,0",Fantástico,2,El peñol,2025-02-11,2025-02-12
Cabaña La Capilla El Peñol,COP 250.000,"Puntuación: 10
10",Excepcional,3,El peñol,2025-02-11,2025-02-12
M203-Dakeva,COP 518.400,No disponible,No disponible,No disponible,El peñol,2025-02-11,2025-02-12
Hotel Brisas La Gaviota Mariquit-Tolima,COP 302.080,"Puntuación: 9,5
9,5",Excepcional,100,Mariquita,2025-02-11,2025-02-12
Eco-Glamping Shalom,COP 560.000,"Puntuación: 9,3
9,3",Fantástico,42,Mariquita,2025-02-11,2025-02-12
Katara Boutique Hotel,COP 75.000,"Puntuación: 8,7
8,7",Fabuloso,420,Mariquita,2025-02-11,2025-02-12
Casa Colonial,COP 54.000,"Puntuación: 8,1
8,1",Muy bien,160,Mariquita,2025-02-11,2025-02-12
La Orquidea,COP 75.000,"Puntuación: 7,4
7,4",Bien,118,Mariquita,2025-02-11,2025-02-12
Hotel flamingo real T,COP 90.000,"Puntuación: 7,4
7,4",Bien,43,Mariquita,2025-02-11,2025-02-12
Victoria Imperial Hotel,COP 180.000,"Puntuación: 8,9
8,9",Fabuloso,107,Mariquita,2025-02-11,2025-02-12
Villa Tikuna,COP 120.000,"Puntuación: 8,7
8,7",Fabuloso,77,Mariquita,2025-02-11,2025-02-12
Casa del encanto II,COP 128.000,"Puntuación: 9,5
9,5",Excepcional,68,Mariquita,2025-02-11,2025-02-12
Los Potrillos,COP 130.000,"Puntuación: 9,4
9,4",Fantástico,55,Mariquita,2025-02-11,2025-02-12
Hotel ZT,COP 79.200,"Puntuación: 8,2
8,2",Muy bien,36,Mariquita,2025-02-11,2025-02-12
casa lumka hotel boutique spa,COP 300.000,"Puntuación: 9,0
9,0",Fantástico,13,Mariquita,2025-02-11,2025-02-12
Casa de descanso,COP 122.400,"Puntuación: 8,9
8,9",Fabuloso,32,Mariquita,2025-02-11,2025-02-12
Hostal Casa de los Virreyes,COP 100.000,"Puntuación: 6,8
6,8",Puntuación,53,Mariquita,2025-02-11,2025-02-12
Casa Hotel Victoria Real,COP 198.000,"Puntuación: 9,2
9,2",Fantástico,49,Mariquita,2025-02-11,2025-02-12
Hotel Luna Llena,COP 90.000,"Puntuación: 8,7
8,7",Fabuloso,16,Mariquita,2025-02-11,2025-02-12
SAN SENDERISMO ROOM,COP 60.000,"Puntuación: 8,3
8,3",Muy bien,11,Mariquita,2025-02-11,2025-02-12
Hotel Refugio Bike,COP 220.000,"Puntuación: 9,5
9,5",Excepcional,54,Mariquita,2025-02-11,2025-02-12
Hotel nelumbo,COP 230.000,"Puntuación: 9,3
9,3",Fantástico,20,Mariquita,2025-02-11,2025-02-12
Hospedaje Casa de Colores,COP 81.000,No disponible,No disponible,No disponible,Mariquita,2025-02-11,2025-02-12
Casa de la Cruz,COP 100.500,"Puntuación: 10
10",Excepcional,6,Mariquita,2025-02-11,2025-02-12
Apartamento Vacacional Campestre,COP 180.000,"Puntuación: 8,4
8,4",Muy bien,25,Mariquita,2025-02-11,2025-02-12
Jerusalén Hotel Boutique,COP 150.000,"Puntuación: 10
10",Excepcional,1,Mariquita,2025-02-11,2025-02-12
Hotel Boutique San Rafael,COP 361.920,"Puntuación: 9,0
9,0",Fantástico,29,Mariquita,2025-02-11,2025-02-12
Hotel OASIS,COP 70.000,"Puntuación: 1,0
1,0",Puntuación,1,Mariquita,2025-02-11,2025-02-12
Hotel Villa Colonia,COP 144.900,"Puntuación: 8,1
8,1",Muy bien,114,MARINILLA,2025-02-11,2025-02-12
Cannua Lodge,COP 729.420,"Puntuación: 9,8
9,8",Excepcional,70,MARINILLA,2025-02-11,2025-02-12
HOSTERÍA BRISAS DEL RÍO,COP 220.000,"Puntuación: 8,5
8,5",Muy bien,4,MARINILLA,2025-02-11,2025-02-12
"Cabañas con jacuzzi y chimenea - Casa Floral, Marinilla",COP 210.000,"Puntuación: 9,2
9,2",Fantástico,189,MARINILLA,2025-02-11,2025-02-12
Hotel La Aldea del Oriente,COP 141.500,"Puntuación: 8,2
8,2",Muy bien,159,MARINILLA,2025-02-11,2025-02-12
Hotel Ocaso Marinilla,COP 90.000,"Puntuación: 9,1
9,1",Fantástico,84,MARINILLA,2025-02-11,2025-02-12
San José de las bromelias,COP 200.000,"Puntuación: 10
10",Excepcional,53,MARINILLA,2025-02-11,2025-02-12
Hotel El Cordobes,COP 111.600,"Puntuación: 9,2
9,2",Fantástico,34,MARINILLA,2025-02-11,2025-02-12
Valerio Hotel Boutique,COP 287.280,"Puntuación: 9,0
9,0",Fantástico,31,MARINILLA,2025-02-11,2025-02-12
