hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Hotel Nova El Peñol,COP 184.000,"Puntuación: 9,1
9,1",Fantástico,92,EL PEÑOL,2025-02-05,2025-02-06
HOTEL Mirador Cielo Blue,COP 229.500,"Puntuación: 8,1
8,1",Muy bien,26,EL PEÑOL,2025-02-05,2025-02-06
Eden Hotel,COP 100.000,"Puntuación: 8,5
8,5",Muy bien,34,EL PEÑOL,2025-02-05,2025-02-06
KABINE,COP 380.800,"Puntuación: 9,6
9,6",Excepcional,31,EL PEÑOL,2025-02-05,2025-02-06
San Antonio,COP 132.000,"Puntuación: 10
10",Excepcional,3,EL PEÑOL,2025-02-05,2025-02-06
Cómodo apartament tipo loft en El Peñol,COP 140.000,"Puntuación: 9,3
9,3",Fantástico,6,EL PEÑOL,2025-02-05,2025-02-06
Cabaña del Embalse con vista espectacular y Starlink,COP 180.000,"Puntuación: 9,7
9,7",Excepcional,19,EL PEÑOL,2025-02-05,2025-02-06
Bramasole Hotel Boutique - El Peñol,COP 170.000,"Puntuación: 9,0
9,0",Fantástico,12,EL PEÑOL,2025-02-05,2025-02-06
Glamping Samadhi - el Peñol,COP 161.500,"Puntuación: 9,7
9,7",Excepcional,3,EL PEÑOL,2025-02-05,2025-02-06
HOTEL EL POTRILLO,COP 220.000,"Puntuación: 8,1
8,1",Muy bien,65,EL PEÑOL,2025-02-05,2025-02-06
Los Bambúes,COP 280.000,No disponible,No disponible,No disponible,EL PEÑOL,2025-02-05,2025-02-06
Cabaña con jacuzzi y acceso al embalse - Portum II,COP 400.000,"Puntuación: 8,8
8,8",Fabuloso,5,EL PEÑOL,2025-02-05,2025-02-06
Cabaña Granja Wayra,COP 99.000,"Puntuación: 10
10",Excepcional,7,EL PEÑOL,2025-02-05,2025-02-06
Finca 3 - Dakeva,COP 292.500,"Puntuación: 7,3
7,3",Bien,4,EL PEÑOL,2025-02-05,2025-02-06
Cabaña con jacuzzi y acceso al embalse Portum III,COP 400.000,"Puntuación: 9,5
9,5",Excepcional,6,EL PEÑOL,2025-02-05,2025-02-06
Casa de campo MARU,COP 1.316.700,"Puntuación: 7,3
7,3",Bien,4,EL PEÑOL,2025-02-05,2025-02-06
"Magic View El peñol, Guatapé",COP 360.000,No disponible,No disponible,No disponible,EL PEÑOL,2025-02-05,2025-02-06
Hotel Muelle De María ángel,COP 240.000,"Puntuación: 4,0
4,0",Puntuación,3,EL PEÑOL,2025-02-05,2025-02-06
Finca Visionaria Con Jacuzzi Magico,COP 425.000,"Puntuación: 9,5
9,5",Excepcional,101,EL PEÑOL,2025-02-05,2025-02-06
Villa Amore,COP 400.000,"Puntuación: 8,5
8,5",Muy bien,4,EL PEÑOL,2025-02-05,2025-02-06
Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,COP 460.460,No disponible,No disponible,No disponible,EL PEÑOL,2025-02-05,2025-02-06
Chalet Glamping Eco Foret,COP 467.500,No disponible,No disponible,No disponible,EL PEÑOL,2025-02-05,2025-02-06
Cabaña Las Flores en Guatapé,COP 700.000,No disponible,No disponible,No disponible,EL PEÑOL,2025-02-05,2025-02-06
Finca La Marina El peñol Guatape,COP 392.000,No disponible,No disponible,No disponible,EL PEÑOL,2025-02-05,2025-02-06
"Finca Palma de Coco, Municipio de el Peñol Antioquia",COP 540.000,"Puntuación: 10
10",Excepcional,1,EL PEÑOL,2025-02-05,2025-02-06
Hotel Nova El Peñol,COP 184.000,"Puntuación: 9,1
9,1",Fantástico,92,El peñol,2025-02-05,2025-02-06
HOTEL Mirador Cielo Blue,COP 229.500,"Puntuación: 8,1
8,1",Muy bien,26,El peñol,2025-02-05,2025-02-06
KABINE,COP 380.800,"Puntuación: 9,6
9,6",Excepcional,31,El peñol,2025-02-05,2025-02-06
Finca Visionaria Con Jacuzzi Magico,COP 425.000,"Puntuación: 9,5
9,5",Excepcional,101,El peñol,2025-02-05,2025-02-06
HOTEL EL POTRILLO,COP 220.000,"Puntuación: 8,1
8,1",Muy bien,65,El peñol,2025-02-05,2025-02-06
Cómodo apartament tipo loft en El Peñol,COP 140.000,"Puntuación: 9,3
9,3",Fantástico,6,El peñol,2025-02-05,2025-02-06
Bramasole Hotel Boutique - El Peñol,COP 170.000,"Puntuación: 9,0
9,0",Fantástico,12,El peñol,2025-02-05,2025-02-06
Eden Hotel,COP 100.000,"Puntuación: 8,5
8,5",Muy bien,34,El peñol,2025-02-05,2025-02-06
San Antonio,COP 132.000,"Puntuación: 10
10",Excepcional,3,El peñol,2025-02-05,2025-02-06
Casa de campo MARU,COP 1.316.700,"Puntuación: 7,3
7,3",Bien,4,El peñol,2025-02-05,2025-02-06
Cabaña del Embalse con vista espectacular y Starlink,COP 180.000,"Puntuación: 9,7
9,7",Excepcional,19,El peñol,2025-02-05,2025-02-06
Glamping Samadhi - el Peñol,COP 161.500,"Puntuación: 9,7
9,7",Excepcional,3,El peñol,2025-02-05,2025-02-06
Villa Amore,COP 400.000,"Puntuación: 8,5
8,5",Muy bien,4,El peñol,2025-02-05,2025-02-06
Cabaña Granja Wayra,COP 99.000,"Puntuación: 10
10",Excepcional,7,El peñol,2025-02-05,2025-02-06
Villas Julieta,COP 316.000,"Puntuación: 10
10",Excepcional,1,El peñol,2025-02-05,2025-02-06
Chalet Glamping Eco Foret,COP 467.500,No disponible,No disponible,No disponible,El peñol,2025-02-05,2025-02-06
Cabaña con jacuzzi y acceso al embalse - Portum II,COP 400.000,"Puntuación: 8,8
8,8",Fabuloso,5,El peñol,2025-02-05,2025-02-06
Cabaña de lujo Jacuzzi vista y acceso a la represa,COP 640.000,No disponible,No disponible,No disponible,El peñol,2025-02-05,2025-02-06
