precio,nombre,calificacion,ciudad,check_in,check_out
COP 377.600,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,4
9,4
Fantástico
98 comentarios",Mariquita,2025-03-24,2025-03-25
COP 840.760,Domus Glamping Guatapé,"Puntuación: 9,5
9,5
Excepcional
84 comentarios","EL PEÑOL, GUATAPÉ",2025-03-24,2025-03-25
COP 322.000,1714 Hotel Boutique Guatapé,"Puntuación: 9,1
9,1
Fantástico
175 comentarios","EL PEÑOL, GUATAPÉ",2025-03-24,2025-03-25
COP 187.440,Hotel Spa Bliss Guatape,"Puntuación: 8,8
8,8
Fabuloso
31 comentarios",GUATAPÉ,2025-03-24,2025-03-25
COP 316.360,Calida Cabaña Marinilla,"Puntuación: 8,2
8,2
Muy bien
151 comentarios","MARINILLA, ANTIOQUIA",2025-03-24,2025-03-25
COP 434.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
6 comentarios",GUATAPÉ,2025-03-24,2025-03-25
COP 720.000,Cabaña El peñol Guatape,"Puntuación: 9,7
9,7
Excepcional
31 comentarios","El peñol, Guatapé",2025-03-24,2025-03-25
COP 302.400,Hotel Omaga El peñol- Guatape,"Puntuación: 9,0
9,0
Fantástico
4 comentarios","EL PEÑOL, GUATAPÉ",2025-03-24,2025-03-25
COP 189.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,9
7,9
Bien
22 comentarios",GUATAPÉ,2025-03-24,2025-03-25
COP 575.580,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,7
9,7
Excepcional
31 comentarios","EL PEÑOL, GUATAPÉ",2025-03-24,2025-03-25
COP 431.680,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,7
9,7
Excepcional
31 comentarios","EL PEÑOL, GUATAPÉ",2025-03-24,2025-03-25
COP 1.400.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 9,7
9,7
Excepcional
31 comentarios","EL PEÑOL, GUATAPÉ",2025-03-24,2025-03-25
COP 490.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 9,7
9,7
Excepcional
31 comentarios","EL PEÑOL, GUATAPÉ",2025-03-24,2025-03-25
COP 1.000.000,"Finca en Guatapé a solo minutos de la piedra, con Jacuzzi & piscina","Puntuación: 8,4
8,4
Muy bien
13 comentarios","EL PEÑOL, GUATAPÉ",2025-03-24,2025-03-25
COP 462.000,Hotel y Termales Castillo Del Lago Guatape,"Puntuación: 10
10
Excepcional
1 comentario",EL PEÑOL,2025-03-24,2025-03-25
COP 350.000,Villas Guatapé,"Puntuación: 9,5
9,5
Excepcional
2 comentarios",El peñol ,2025-03-24,2025-03-25
COP 222.600,Hotel Z3 Pereira,"Puntuación: 8,1
8,1
Muy bien
464 comentarios",Pereira,2025-03-24,2025-03-25
COP 130.900,Hotel Portobelo Guatape,"Puntuación: 9,0
9,0
Fantástico
116 comentarios",Guatapé ,2025-03-24,2025-03-25
COP 302.080,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,4
9,4
Fantástico
98 comentarios",Mariquita,2025-03-25,2025-03-26
