precio,nombre,calificacion,ciudad,check_in,check_out
COP 293.460,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,2
9,2
Fantástico
93 comentarios",Mariquita,2025-05-23,2025-05-24
COP 603.300,Domus Glamping Guatapé,"Puntuación: 9,6
9,6
Excepcional
82 comentarios","EL PEÑOL, GUATAPÉ",2025-05-23,2025-05-24
COP 603.300,1714 Hotel Boutique Guatapé,"Puntuación: 9,1
9,1
Fantástico
186 comentarios","EL PEÑOL, GUATAPÉ",2025-05-23,2025-05-24
COP 603.300,Hotel Spa Bliss Guatape,"Puntuación: 8,9
8,9
Fabuloso
43 comentarios",GUATAPÉ,2025-05-23,2025-05-24
COP 316.360,Calida Cabaña Marinilla,"Puntuación: 8,3
8,3
Muy bien
149 comentarios","MARINILLA, ANTIOQUIA",2025-05-23,2025-05-24
COP 603.300,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
7 comentarios",GUATAPÉ,2025-05-23,2025-05-24
COP 603.300,Cabaña El peñol Guatape,"Puntuación: 8,7
8,7
Fabuloso
114 comentarios","El peñol, Guatapé",2025-05-23,2025-05-24
COP 260.400,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
7 comentarios","EL PEÑOL, GUATAPÉ",2025-05-23,2025-05-24
COP 603.300,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,9
7,9
Bien
26 comentarios",GUATAPÉ,2025-05-23,2025-05-24
COP 363.000,Hotel Campestre Alto lindo en Guatapé,"Puntuación: 9,0
9,0
Fantástico
20 comentarios","EL PEÑOL, GUATAPÉ",2025-05-23,2025-05-24
COP 348.420,Loft El Ranch Playa a 10 minutos andando con Jacuzzi XXL y Jardin Privado,"Puntuación: 8,6
8,6
Fabuloso
1.548 comentarios","EL PEÑOL, GUATAPÉ",2025-05-23,2025-05-24
COP 603.300,Finca con jacuzzi a 15min de Guatape,"Puntuación: 8,7
8,7
Fabuloso
114 comentarios","EL PEÑOL, GUATAPÉ",2025-05-23,2025-05-24
COP 603.300,Finca El Peñol,"Puntuación: 6,5
6,5
Puntuación
17 comentarios","EL PEÑOL, GUATAPÉ",2025-05-23,2025-05-24
COP 450.000,Finca El Peñol,"Puntuación: 6,5
6,5
Puntuación
17 comentarios","EL PEÑOL, GUATAPÉ",2025-05-23,2025-05-24
COP 603.300,Hotel y Termales Castillo Del Lago Guatape,"Puntuación: 10
10
Excepcional
2 comentarios",EL PEÑOL,2025-05-23,2025-05-24
COP 160.000,Atma Villas,"Puntuación: 8,7
8,7
Fabuloso
114 comentarios",El peñol ,2025-05-23,2025-05-24
COP 128.940,Hotel Z3 Pereira,"Puntuación: 8,3
8,3
Muy bien
464 comentarios",Pereira,2025-05-23,2025-05-24
COP 603.300,Hotel Portobelo Guatape,"Puntuación: 9,0
9,0
Fantástico
128 comentarios",Guatapé ,2025-05-23,2025-05-24
COP 128.940,La Herradura lodge,"Puntuación: 9,6
9,6
Excepcional
147 comentarios",Santa rosa de cabal,2025-05-23,2025-05-24
COP 158.020,Hotel El Alba,"Puntuación: 7,6
7,6
Bien
20 comentarios",Cali,2025-05-23,2025-05-24
COP 603.300,Casa García Rent Home,"Puntuación: 9,0
9,0
Fantástico
375 comentarios",GUATAPE,2025-05-23,2025-05-24
