precio,nombre,calificacion,ciudad,check_in,check_out
COP 377.600,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,5
9,5
Excepcional
101 comentarios",Mariquita,2025-02-13,2025-02-14
COP 784.720,Domus Glamping Guatapé,"Puntuación: 9,5
9,5
Excepcional
86 comentarios","EL PEÑOL, GUATAPÉ",2025-02-13,2025-02-14
COP 322.000,1714 Hotel Boutique Guatapé,"Puntuación: 9,1
9,1
Fantástico
170 comentarios","EL PEÑOL, GUATAPÉ",2025-02-13,2025-02-14
COP 168.000,Hotel Spa Bliss Guatape,"Puntuación: 8,7
8,7
Fabuloso
24 comentarios",GUATAPÉ,2025-02-13,2025-02-14
COP 191.400,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,3
8,3
Muy bien
20 comentarios","MARINILLA, ANTIOQUIA",2025-02-13,2025-02-14
COP 350.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
6 comentarios",GUATAPÉ,2025-02-13,2025-02-14
COP 319.000,Marina Navegar,"Puntuación: 7,7
7,7
Bien
23 comentarios","El peñol, Guatapé",2025-02-13,2025-02-14
COP 168.000,Hotel Omaga El peñol- Guatape,"Puntuación: 9,0
9,0
Fantástico
4 comentarios","EL PEÑOL, GUATAPÉ",2025-02-13,2025-02-14
COP 168.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,8
7,8
Bien
22 comentarios",GUATAPÉ,2025-02-13,2025-02-14
COP 575.580,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
793 comentarios","EL PEÑOL, GUATAPÉ",2025-02-13,2025-02-14
COP 460.460,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
793 comentarios","EL PEÑOL, GUATAPÉ",2025-02-13,2025-02-14
COP 1.400.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 7,7
7,7
Bien
23 comentarios","EL PEÑOL, GUATAPÉ",2025-02-13,2025-02-14
COP 600.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
793 comentarios","EL PEÑOL, GUATAPÉ",2025-02-13,2025-02-14
COP 441.000,Finca La Marina El peñol Guatape,"Puntuación: 7,9
7,9
Bien
793 comentarios","EL PEÑOL, GUATAPÉ",2025-02-13,2025-02-14
COP 1.127.700,Mirador del Lago Hotel,"Puntuación: 8,9
8,9
Fabuloso
969 comentarios",EL PEÑOL,2025-02-13,2025-02-14
COP 350.000,Villas Guatapé,"Puntuación: 9,5
9,5
Excepcional
2 comentarios",El peñol ,2025-02-13,2025-02-14
COP 194.600,Hotel Z3 Pereira,"Puntuación: 8,0
8,0
Muy bien
448 comentarios",Pereira,2025-02-13,2025-02-14
COP 328.760,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,5
9,5
Excepcional
101 comentarios",Mariquita,2025-02-14,2025-02-15
COP 784.720,Domus Glamping Guatapé,"Puntuación: 9,5
9,5
Excepcional
86 comentarios","EL PEÑOL, GUATAPÉ",2025-02-14,2025-02-15
COP 257.600,1714 Hotel Boutique Guatapé,"Puntuación: 9,1
9,1
Fantástico
170 comentarios","EL PEÑOL, GUATAPÉ",2025-02-14,2025-02-15
COP 179.200,Hotel Spa Bliss Guatape,"Puntuación: 8,7
8,7
Fabuloso
24 comentarios",GUATAPÉ,2025-02-14,2025-02-15
COP 103.300,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,3
8,3
Muy bien
20 comentarios","MARINILLA, ANTIOQUIA",2025-02-14,2025-02-15
COP 347.200,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
6 comentarios",GUATAPÉ,2025-02-14,2025-02-15
COP 200.100,Marina Navegar,"Puntuación: 7,7
7,7
Bien
23 comentarios","El peñol, Guatapé",2025-02-14,2025-02-15
COP 134.400,Hotel Omaga El peñol- Guatape,"Puntuación: 9,0
9,0
Fantástico
4 comentarios","EL PEÑOL, GUATAPÉ",2025-02-14,2025-02-15
COP 189.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,8
7,8
Bien
22 comentarios",GUATAPÉ,2025-02-14,2025-02-15
COP 520.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
793 comentarios","EL PEÑOL, GUATAPÉ",2025-02-14,2025-02-15
COP 520.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
793 comentarios","EL PEÑOL, GUATAPÉ",2025-02-14,2025-02-15
COP 1.120.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 7,9
7,9
Bien
793 comentarios","EL PEÑOL, GUATAPÉ",2025-02-14,2025-02-15
COP 600.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
793 comentarios","EL PEÑOL, GUATAPÉ",2025-02-14,2025-02-15
COP 440.000,Finca La Marina El peñol Guatape,"Puntuación: 7,9
7,9
Bien
793 comentarios","EL PEÑOL, GUATAPÉ",2025-02-14,2025-02-15
COP 1.141.220,Mirador del Lago Hotel,"Puntuación: 8,9
8,9
Fabuloso
969 comentarios",EL PEÑOL,2025-02-14,2025-02-15
COP 350.000,Villas Guatapé,"Puntuación: 9,5
9,5
Excepcional
2 comentarios",El peñol ,2025-02-14,2025-02-15
COP 178.080,Hotel Z3 Pereira,"Puntuación: 8,0
8,0
Muy bien
448 comentarios",Pereira,2025-02-14,2025-02-15
COP 328.760,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,5
9,5
Excepcional
101 comentarios",Mariquita,2025-02-15,2025-02-16
COP 784.720,Domus Glamping Guatapé,"Puntuación: 9,5
9,5
Excepcional
86 comentarios","EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 347.200,1714 Hotel Boutique Guatapé,"Puntuación: 9,1
9,1
Fantástico
170 comentarios","EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 185.920,Hotel Spa Bliss Guatape,"Puntuación: 8,7
8,7
Fabuloso
24 comentarios",GUATAPÉ,2025-02-15,2025-02-16
COP 120.660,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,3
8,3
Muy bien
20 comentarios","MARINILLA, ANTIOQUIA",2025-02-15,2025-02-16
COP 347.200,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
6 comentarios",GUATAPÉ,2025-02-15,2025-02-16
COP 324.800,Marina Navegar,"Puntuación: 7,7
7,7
Bien
23 comentarios","El peñol, Guatapé",2025-02-15,2025-02-16
COP 134.400,Hotel Omaga El peñol- Guatape,"Puntuación: 9,0
9,0
Fantástico
4 comentarios","EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 189.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,8
7,8
Bien
22 comentarios",GUATAPÉ,2025-02-15,2025-02-16
COP 520.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
793 comentarios","EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 520.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
793 comentarios","EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 1.120.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 7,9
7,9
Bien
793 comentarios","EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 600.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
793 comentarios","EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 440.000,Finca La Marina El peñol Guatape,"Puntuación: 7,9
7,9
Bien
793 comentarios","EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 852.300,Mirador del Lago Hotel,"Puntuación: 8,9
8,9
Fabuloso
969 comentarios",EL PEÑOL,2025-02-15,2025-02-16
COP 350.000,Villas Guatapé,"Puntuación: 9,5
9,5
Excepcional
2 comentarios",El peñol ,2025-02-15,2025-02-16
COP 178.080,Hotel Z3 Pereira,"Puntuación: 8,0
8,0
Muy bien
448 comentarios",Pereira,2025-02-15,2025-02-16
