precio,nombre,calificacion,ciudad,check_in,check_out
0,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,5
9,5
Excepcional
100 comentarios reales",Mariquita,2025-01-03,2025-01-04
0,Domus Glamping Guatapé,"Puntuación: 9,5
9,5
Excepcional
86 comentarios reales","EL PEÑOL, GUATAPÉ",2025-01-03,2025-01-04
0,1714 Hotel Boutique Guatapé,"Puntuación: 9,1
9,1
Fantástico
170 comentarios reales","EL PEÑOL, GUATAPÉ",2025-01-03,2025-01-04
0,Hotel Spa Bliss Guatape,"Puntuación: 8,8
8,8
Fabuloso
22 comentarios reales",GUATAPÉ,2025-01-03,2025-01-04
0,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,3
8,3
Muy bien
20 comentarios reales","MARINILLA, ANTIOQUIA",2025-01-03,2025-01-04
0,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
5 comentarios reales",GUATAPÉ,2025-01-03,2025-01-04
0,"Marina Navegar- El peñol, Guatape","Puntuación: 7,7
7,7
Bien
23 comentarios reales","El peñol, Guatapé",2025-01-03,2025-01-04
0,Hotel Omaga El peñol- Guatape,"Puntuación: 9,0
9,0
Fantástico
4 comentarios reales","EL PEÑOL, GUATAPÉ",2025-01-03,2025-01-04
0,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,8
7,8
Bien
22 comentarios reales",GUATAPÉ,2025-01-03,2025-01-04
0,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,8
9,8
Excepcional
67 comentarios reales","EL PEÑOL, GUATAPÉ",2025-01-03,2025-01-04
0,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,8
9,8
Excepcional
67 comentarios reales","EL PEÑOL, GUATAPÉ",2025-01-03,2025-01-04
0,Finca con jacuzzi a 15min de Guatape,"Puntuación: 9,8
9,8
Excepcional
67 comentarios reales","EL PEÑOL, GUATAPÉ",2025-01-03,2025-01-04
0,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 9,8
9,8
Excepcional
67 comentarios reales","EL PEÑOL, GUATAPÉ",2025-01-03,2025-01-04
0,Finca La Marina El peñol Guatape,"Puntuación: 10
10
Excepcional
1 comentario real","EL PEÑOL, GUATAPÉ",2025-01-03,2025-01-04
0,Mirador del Lago Hotel,"Puntuación: 8,9
8,9
Fabuloso
958 comentarios reales",EL PEÑOL,2025-01-03,2025-01-04
0,Villas Guatapé,"Puntuación: 10
10
Excepcional
1 comentario real",El peñol ,2025-01-03,2025-01-04
0,Hotel Z3,"Puntuación: 8,0
8,0
Muy bien
445 comentarios reales",Pereira,2025-01-03,2025-01-04
0,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,5
9,5
Excepcional
100 comentarios reales",Mariquita,2025-01-04,2025-01-05
0,Domus Glamping Guatapé,"Puntuación: 9,5
9,5
Excepcional
86 comentarios reales","EL PEÑOL, GUATAPÉ",2025-01-04,2025-01-05
0,1714 Hotel Boutique Guatapé,"Puntuación: 9,1
9,1
Fantástico
170 comentarios reales","EL PEÑOL, GUATAPÉ",2025-01-04,2025-01-05
0,Hotel Spa Bliss Guatape,"Puntuación: 8,8
8,8
Fabuloso
22 comentarios reales",GUATAPÉ,2025-01-04,2025-01-05
0,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,3
8,3
Muy bien
20 comentarios reales","MARINILLA, ANTIOQUIA",2025-01-04,2025-01-05
0,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
5 comentarios reales",GUATAPÉ,2025-01-04,2025-01-05
0,"Marina Navegar- El peñol, Guatape","Puntuación: 7,7
7,7
Bien
23 comentarios reales","El peñol, Guatapé",2025-01-04,2025-01-05
0,Hotel Omaga El peñol- Guatape,"Puntuación: 9,0
9,0
Fantástico
4 comentarios reales","EL PEÑOL, GUATAPÉ",2025-01-04,2025-01-05
0,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,8
7,8
Bien
22 comentarios reales",GUATAPÉ,2025-01-04,2025-01-05
0,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,8
9,8
Excepcional
67 comentarios reales","EL PEÑOL, GUATAPÉ",2025-01-04,2025-01-05
0,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,8
9,8
Excepcional
67 comentarios reales","EL PEÑOL, GUATAPÉ",2025-01-04,2025-01-05
0,Finca con jacuzzi a 15min de Guatape,"Puntuación: 9,8
9,8
Excepcional
67 comentarios reales","EL PEÑOL, GUATAPÉ",2025-01-04,2025-01-05
0,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 9,8
9,8
Excepcional
67 comentarios reales","EL PEÑOL, GUATAPÉ",2025-01-04,2025-01-05
0,Finca La Marina El peñol Guatape,"Puntuación: 10
10
Excepcional
1 comentario real","EL PEÑOL, GUATAPÉ",2025-01-04,2025-01-05
0,Mirador del Lago Hotel,"Puntuación: 8,9
8,9
Fabuloso
958 comentarios reales",EL PEÑOL,2025-01-04,2025-01-05
0,Villas Guatapé,"Puntuación: 10
10
Excepcional
1 comentario real",El peñol ,2025-01-04,2025-01-05
0,Hotel Z3,"Puntuación: 8,0
8,0
Muy bien
445 comentarios reales",Pereira,2025-01-04,2025-01-05
