precio,nombre,calificacion,ciudad,check_in,check_out
COP 377.600,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,4
9,4
Fantástico
98 comentarios",Mariquita,2025-03-12,2025-03-13
COP 180.360,Domus Olea Glamping,"Puntuación: 9,8
9,8
Excepcional
16 comentarios","EL PEÑOL, GUATAPÉ",2025-03-12,2025-03-13
COP 322.000,1714 Hotel Boutique Guatapé,"Puntuación: 9,1
9,1
Fantástico
175 comentarios","EL PEÑOL, GUATAPÉ",2025-03-12,2025-03-13
COP 176.400,Hotel Spa Bliss Guatape,"Puntuación: 8,8
8,8
Fabuloso
29 comentarios",GUATAPÉ,2025-03-12,2025-03-13
COP 316.360,Calida Cabaña Marinilla,"Puntuación: 8,2
8,2
Muy bien
154 comentarios","MARINILLA, ANTIOQUIA",2025-03-12,2025-03-13
COP 434.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
6 comentarios",GUATAPÉ,2025-03-12,2025-03-13
COP 302.080,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,4
9,4
Fantástico
98 comentarios",Mariquita,2025-03-13,2025-03-14
COP 315.620,Domus Olea Glamping,"Puntuación: 9,8
9,8
Excepcional
16 comentarios","EL PEÑOL, GUATAPÉ",2025-03-13,2025-03-14
COP 257.600,1714 Hotel Boutique Guatapé,"Puntuación: 9,1
9,1
Fantástico
175 comentarios","EL PEÑOL, GUATAPÉ",2025-03-13,2025-03-14
COP 158.760,Hotel Spa Bliss Guatape,"Puntuación: 8,8
8,8
Fabuloso
29 comentarios",GUATAPÉ,2025-03-13,2025-03-14
COP 316.360,Calida Cabaña Marinilla,"Puntuación: 8,2
8,2
Muy bien
154 comentarios","MARINILLA, ANTIOQUIA",2025-03-13,2025-03-14
COP 347.200,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
6 comentarios",GUATAPÉ,2025-03-13,2025-03-14
COP 377.600,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,4
9,4
Fantástico
98 comentarios",Mariquita,2025-03-14,2025-03-15
COP 571.280,Domus Olea Glamping,"Puntuación: 9,8
9,8
Excepcional
16 comentarios","EL PEÑOL, GUATAPÉ",2025-03-14,2025-03-15
COP 322.000,1714 Hotel Boutique Guatapé,"Puntuación: 9,1
9,1
Fantástico
175 comentarios","EL PEÑOL, GUATAPÉ",2025-03-14,2025-03-15
COP 209.160,Hotel Spa Bliss Guatape,"Puntuación: 8,8
8,8
Fabuloso
29 comentarios",GUATAPÉ,2025-03-14,2025-03-15
COP 316.360,Calida Cabaña Marinilla,"Puntuación: 8,2
8,2
Muy bien
154 comentarios","MARINILLA, ANTIOQUIA",2025-03-14,2025-03-15
COP 392.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
6 comentarios",GUATAPÉ,2025-03-14,2025-03-15
