nombre,precio,calificacion,ciudad,check_in,check_out
Hotel Brisas La Gaviota Mariquit-Tolima,COP 305.280,"Puntuación: 9,2
9,2
Fantástico
99 comentarios",Mariquita,2024-11-22,2024-11-23
Domus Olea Glamping,COP 331.800,"Puntuación: 9,8
9,8
Excepcional
16 comentarios","EL PEÑOL, GUATAPÉ",2024-11-22,2024-11-23
1714 Hotel Boutique Guatapé,COP 246.340,"Puntuación: 9,3
9,3
Fantástico
159 comentarios","EL PEÑOL, GUATAPÉ",2024-11-22,2024-11-23
Hotel Spa Bliss Guatape,COP 168.000,"Puntuación: 9,8
9,8
Excepcional
5 comentarios",GUATAPÉ,2024-11-22,2024-11-23
Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,COP 486.400,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2024-11-22,2024-11-23
Hobbit Hotel Ecolodge- Guatapé,COP 331.940,"Puntuación: 10
10
Excepcional
76 comentarios",GUATAPÉ,2024-11-22,2024-11-23
Hotel Brisas La Gaviota Mariquit-Tolima,COP 305.280,"Puntuación: 9,2
9,2
Fantástico
99 comentarios",Mariquita,2024-11-23,2024-11-24
Domus Olea Glamping,COP 331.800,"Puntuación: 9,8
9,8
Excepcional
16 comentarios","EL PEÑOL, GUATAPÉ",2024-11-23,2024-11-24
1714 Hotel Boutique Guatapé,COP 278.460,"Puntuación: 9,3
9,3
Fantástico
159 comentarios","EL PEÑOL, GUATAPÉ",2024-11-23,2024-11-24
Hotel Spa Bliss Guatape,COP 168.000,"Puntuación: 9,8
9,8
Excepcional
5 comentarios",GUATAPÉ,2024-11-23,2024-11-24
Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,COP 550.400,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2024-11-23,2024-11-24
Hobbit Hotel Ecolodge- Guatapé,COP 331.940,"Puntuación: 10
10
Excepcional
76 comentarios",GUATAPÉ,2024-11-23,2024-11-24
