precio,nombre,calificacion,ciudad,check_in,check_out
COP 377.600,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,3
9,3
Fantástico
92 comentarios",Mariquita,2025-04-28,2025-04-29
COP 840.760,Domus Glamping Guatapé,"Puntuación: 9,6
9,6
Excepcional
84 comentarios","EL PEÑOL, GUATAPÉ",2025-04-28,2025-04-29
COP 308.000,1714 Hotel Boutique Guatapé,"Puntuación: 9,1
9,1
Fantástico
182 comentarios","EL PEÑOL, GUATAPÉ",2025-04-28,2025-04-29
COP 149.940,Hotel Spa Bliss Guatape,"Puntuación: 8,8
8,8
Fabuloso
41 comentarios",GUATAPÉ,2025-04-28,2025-04-29
COP 316.360,Calida Cabaña Marinilla,"Puntuación: 8,3
8,3
Muy bien
149 comentarios","MARINILLA, ANTIOQUIA",2025-04-28,2025-04-29
COP 434.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
7 comentarios",GUATAPÉ,2025-04-28,2025-04-29
COP 800.000,Cabaña El peñol Guatape,"Puntuación: 10
10
Excepcional
3 comentarios","El peñol, Guatapé",2025-04-28,2025-04-29
COP 434.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
7 comentarios","EL PEÑOL, GUATAPÉ",2025-04-28,2025-04-29
COP 168.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 8,0
8,0
Muy bien
23 comentarios",GUATAPÉ,2025-04-28,2025-04-29
COP 430.000,Breeze Glamping -Guatape,"Puntuación: 9,8
9,8
Excepcional
72 comentarios","EL PEÑOL, GUATAPÉ",2025-04-28,2025-04-29
COP 6.949.820,Loft El Ranch Playa a 10 minutos andando con Jacuzzi XXL y Jardin Privado,"Puntuación: 7,2
7,2
Bien
1.960 comentarios","EL PEÑOL, GUATAPÉ",2025-04-28,2025-04-29
COP 1.400.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 8,2
8,2
Muy bien
1.496 comentarios","EL PEÑOL, GUATAPÉ",2025-04-28,2025-04-29
COP 850.000,Finca El Peñol,"Puntuación: 6,5
6,5
Puntuación
17 comentarios","EL PEÑOL, GUATAPÉ",2025-04-28,2025-04-29
COP 850.000,Finca El Peñol,"Puntuación: 6,5
6,5
Puntuación
17 comentarios","EL PEÑOL, GUATAPÉ",2025-04-28,2025-04-29
COP 462.000,Hotel y Termales Castillo Del Lago Guatape,"Puntuación: 10
10
Excepcional
2 comentarios",EL PEÑOL,2025-04-28,2025-04-29
COP 1.005.480,Atma Villas,"Puntuación: 8,7
8,7
Fabuloso
115 comentarios",El peñol ,2025-04-28,2025-04-29
COP 236.600,Hotel Z3 Pereira,"Puntuación: 8,2
8,2
Muy bien
469 comentarios",Pereira,2025-04-28,2025-04-29
COP 166.600,Hotel Portobelo Guatape,"Puntuación: 9,0
9,0
Fantástico
123 comentarios",Guatapé ,2025-04-28,2025-04-29
COP 378.000,La Herradura lodge,"Puntuación: 9,6
9,6
Excepcional
147 comentarios",Santa rosa de cabal,2025-04-28,2025-04-29
COP 240.000,Hotel El Alba,"Puntuación: 7,6
7,6
Bien
23 comentarios",Cali,2025-04-28,2025-04-29
COP 302.080,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,3
9,3
Fantástico
92 comentarios",Mariquita,2025-04-29,2025-04-30
COP 840.760,Domus Glamping Guatapé,"Puntuación: 9,6
9,6
Excepcional
84 comentarios","EL PEÑOL, GUATAPÉ",2025-04-29,2025-04-30
COP 308.000,1714 Hotel Boutique Guatapé,"Puntuación: 9,1
9,1
Fantástico
182 comentarios","EL PEÑOL, GUATAPÉ",2025-04-29,2025-04-30
COP 119.960,Hotel Spa Bliss Guatape,"Puntuación: 8,8
8,8
Fabuloso
41 comentarios",GUATAPÉ,2025-04-29,2025-04-30
COP 316.360,Calida Cabaña Marinilla,"Puntuación: 8,3
8,3
Muy bien
149 comentarios","MARINILLA, ANTIOQUIA",2025-04-29,2025-04-30
COP 347.200,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
7 comentarios",GUATAPÉ,2025-04-29,2025-04-30
COP 800.000,Cabaña El peñol Guatape,"Puntuación: 10
10
Excepcional
3 comentarios","El peñol, Guatapé",2025-04-29,2025-04-30
COP 347.200,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
7 comentarios","EL PEÑOL, GUATAPÉ",2025-04-29,2025-04-30
COP 134.400,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 8,0
8,0
Muy bien
23 comentarios",GUATAPÉ,2025-04-29,2025-04-30
COP 430.000,Breeze Glamping -Guatape,"Puntuación: 9,8
9,8
Excepcional
72 comentarios","EL PEÑOL, GUATAPÉ",2025-04-29,2025-04-30
COP 6.949.820,Loft El Ranch Playa a 10 minutos andando con Jacuzzi XXL y Jardin Privado,"Puntuación: 7,9
7,9
Bien
2.011 comentarios","EL PEÑOL, GUATAPÉ",2025-04-29,2025-04-30
COP 1.400.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 10
10
Excepcional
3 comentarios","EL PEÑOL, GUATAPÉ",2025-04-29,2025-04-30
COP 850.000,Finca El Peñol,"Puntuación: 6,5
6,5
Puntuación
17 comentarios","EL PEÑOL, GUATAPÉ",2025-04-29,2025-04-30
COP 850.000,Finca El Peñol,"Puntuación: 6,5
6,5
Puntuación
17 comentarios","EL PEÑOL, GUATAPÉ",2025-04-29,2025-04-30
COP 369.600,Hotel y Termales Castillo Del Lago Guatape,"Puntuación: 10
10
Excepcional
2 comentarios",EL PEÑOL,2025-04-29,2025-04-30
COP 804.400,Atma Villas,"Puntuación: 8,7
8,7
Fabuloso
115 comentarios",El peñol ,2025-04-29,2025-04-30
