precio,nombre,calificacion,ciudad,check_in,check_out
COP 814.500,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,4
9,4
Fantástico
95 comentarios",Mariquita,2025-04-12,2025-04-13
COP 913.880,Domus Glamping Guatapé,"Puntuación: 9,6
9,6
Excepcional
86 comentarios","EL PEÑOL, GUATAPÉ",2025-04-12,2025-04-13
COP 462.000,1714 Hotel Boutique Guatapé,"Puntuación: 9,1
9,1
Fantástico
180 comentarios","EL PEÑOL, GUATAPÉ",2025-04-12,2025-04-13
COP 170.800,Hotel Spa Bliss Guatape,"Puntuación: 8,8
8,8
Fabuloso
37 comentarios",GUATAPÉ,2025-04-12,2025-04-13
COP 316.360,Calida Cabaña Marinilla,"Puntuación: 10
10
Excepcional
8 comentarios","MARINILLA, ANTIOQUIA",2025-04-12,2025-04-13
COP 490.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
7 comentarios",GUATAPÉ,2025-04-12,2025-04-13
COP 720.000,Cabaña El peñol Guatape,"Puntuación: 9,0
9,0
Fantástico
40 comentarios","El peñol, Guatapé",2025-04-12,2025-04-13
COP 490.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
7 comentarios","EL PEÑOL, GUATAPÉ",2025-04-12,2025-04-13
COP 284.620,Primacy Apart Hotel,"Puntuación: 8,5
8,5
Muy bien
248 comentarios",GUATAPÉ,2025-04-12,2025-04-13
COP 650.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,0
9,0
Fantástico
40 comentarios","EL PEÑOL, GUATAPÉ",2025-04-12,2025-04-13
COP 650.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,0
9,0
Fantástico
40 comentarios","EL PEÑOL, GUATAPÉ",2025-04-12,2025-04-13
COP 1.400.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 9,0
9,0
Fantástico
40 comentarios","EL PEÑOL, GUATAPÉ",2025-04-12,2025-04-13
COP 900.000,Preciosa finca en el peñol de Guatapé con piscina y jacuzzi,"Puntuación: 7,1
7,1
Bien
16 comentarios","EL PEÑOL, GUATAPÉ",2025-04-12,2025-04-13
COP 920.000,"Finca en Guatapé a solo minutos de la piedra, con Jacuzzi & piscina","Puntuación: 8,4
8,4
Muy bien
13 comentarios","EL PEÑOL, GUATAPÉ",2025-04-12,2025-04-13
COP 546.000,Hotel y Termales Castillo Del Lago Guatape,"Puntuación: 10
10
Excepcional
2 comentarios",EL PEÑOL,2025-04-12,2025-04-13
COP 1.005.480,Atma Villas,"Puntuación: 8,7
8,7
Fabuloso
114 comentarios",El peñol ,2025-04-12,2025-04-13
COP 201.120,Hotel Z3 Pereira,"Puntuación: 8,1
8,1
Muy bien
463 comentarios",Pereira,2025-04-12,2025-04-13
COP 297.500,Hotel Portobelo Guatape,"Puntuación: 9,0
9,0
Fantástico
121 comentarios",Guatapé ,2025-04-12,2025-04-13
COP 588.000,La Herradura lodge,"Puntuación: 9,6
9,6
Excepcional
147 comentarios",Santa rosa de cabal,2025-04-12,2025-04-13
