nombre,precio,calificacion,ciudad,check_in,check_out
Hotel Brisas La Gaviota Mariquit-Tolima,COP 272.280,"Puntuación: 9,1
9,1
Fantástico
97 comentarios",Mariquita,2024-11-11,2024-11-12
Domus Olea Glamping,,,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
1714 Hotel Boutique Guatapé,COP 246.340,"Puntuación: 9,3
9,3
Fantástico
157 comentarios","EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
Hotel Spa Bliss Guatape,COP 400.000,"Puntuación: 9,8
9,8
Excepcional
4 comentarios",GUATAPÉ,2024-11-11,2024-11-12
Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,COP 236.320,"Puntuación: 8,8
8,8
Fabuloso
19 comentarios","MARINILLA, ANTIOQUIA",2024-11-11,2024-11-12
Hobbit Hotel Ecolodge- Guatapé,COP 120.000,"Puntuación: 10
10
Excepcional
76 comentarios",GUATAPÉ,2024-11-11,2024-11-12
