precio,nombre,calificacion,ciudad,check_in,check_out
COP 96.000,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,4
9,4
Fantástico
95 comentarios",Mariquita,2025-09-09,2025-09-10
COP 82.080,Domus Glamping Guatapé,"Puntuación: 9,6
9,6
Excepcional
72 comentarios","EL PEÑOL, GUATAPÉ",2025-09-09,2025-09-10
COP 536.540,1714 Hotel Boutique Guatapé,"Puntuación: 9,1
9,1
Fantástico
200 comentarios","EL PEÑOL, GUATAPÉ",2025-09-09,2025-09-10
COP 82.080,Hotel Spa Bliss Guatape,"Puntuación: 8,8
8,8
Fabuloso
63 comentarios",GUATAPÉ,2025-09-09,2025-09-10
COP 82.080,Luxury Mansion Sant Serrant Cerca Aeropuerto Medellín Guatapé,"Puntuación: 8,6
8,6
Fabuloso
23 comentarios","MARINILLA, ANTIOQUIA",2025-09-09,2025-09-10
COP 82.080,Hobbit Hotel El peñol Guatapé,"Puntuación: 9,9
9,9
Excepcional
16 comentarios",GUATAPÉ,2025-09-09,2025-09-10
COP 82.080,Marina Navegar,"Puntuación: 8,4
8,4
Muy bien
54 comentarios","El peñol, Guatapé",2025-09-09,2025-09-10
COP 480.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 9,9
9,9
Excepcional
16 comentarios","EL PEÑOL, GUATAPÉ",2025-09-09,2025-09-10
COP 82.080,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,5
7,5
Bien
31 comentarios",GUATAPÉ,2025-09-09,2025-09-10
COP 150.000,Hotel Campestre Alto lindo en Guatapé,"Puntuación: 8,3
8,3
Muy bien
85 comentarios","EL PEÑOL, GUATAPÉ",2025-09-09,2025-09-10
COP 357.380,HolaCamp Sitges Garrofer,"Puntuación: 8,4
8,4
Muy bien
3.850 comentarios","EL PEÑOL, GUATAPÉ",2025-09-09,2025-09-10
COP 82.080,Finca con jacuzzi a 15min de Guatape,"Puntuación: 9,2
9,2
Fantástico
4 comentarios","EL PEÑOL, GUATAPÉ",2025-09-09,2025-09-10
COP 82.080,Finca El Peñol,"Puntuación: 6,3
6,3
Puntuación
17 comentarios","EL PEÑOL, GUATAPÉ",2025-09-09,2025-09-10
COP 450.000,Finca El Peñol,"Puntuación: 6,3
6,3
Puntuación
17 comentarios","EL PEÑOL, GUATAPÉ",2025-09-09,2025-09-10
COP 82.080,Hotel y Termales Castillo Del Lago Guatape,"Puntuación: 9,9
9,9
Excepcional
10 comentarios",EL PEÑOL,2025-09-09,2025-09-10
COP 82.080,Atma Villas,"Puntuación: 8,8
8,8
Fabuloso
127 comentarios",El peñol ,2025-09-09,2025-09-10
COP 66.680,Hotel Z3 Pereira,"Puntuación: 8,2
8,2
Muy bien
473 comentarios",Pereira,2025-09-09,2025-09-10
COP 82.080,Hotel Portobelo Guatape,"Puntuación: 8,9
8,9
Fabuloso
142 comentarios",Guatapé ,2025-09-09,2025-09-10
COP 119.000,La Herradura lodge,"Puntuación: 9,7
9,7
Excepcional
142 comentarios",Santa rosa de cabal,2025-09-09,2025-09-10
COP 102.000,Hotel El Alba,"Puntuación: 9,1
9,1
Fantástico
21 comentarios",Cali,2025-09-09,2025-09-10
COP 82.080,Casa García Rent Home,"Puntuación: 9,0
9,0
Fantástico
399 comentarios",GUATAPE,2025-09-09,2025-09-10
