precio,nombre,calificacion,ciudad,check_in,check_out
COP 410.960,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,5
9,5
Excepcional
100 comentarios",Mariquita,2025-02-15,2025-02-16
COP 784.720,Domus Glamping Guatapé,"Puntuación: 9,5
9,5
Excepcional
88 comentarios","EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 434.000,1714 Hotel Boutique Guatapé,"Puntuación: 9,1
9,1
Fantástico
170 comentarios","EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 232.400,Hotel Spa Bliss Guatape,"Puntuación: 8,7
8,7
Fabuloso
25 comentarios",GUATAPÉ,2025-02-15,2025-02-16
COP 688.000,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,5
8,5
Muy bien
21 comentarios","MARINILLA, ANTIOQUIA",2025-02-15,2025-02-16
COP 434.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
6 comentarios",GUATAPÉ,2025-02-15,2025-02-16
COP 495.000,Finca La Marina El peñol Guatape,"Puntuación: 9,5
9,5
Excepcional
137 comentarios","El peñol, Guatapé",2025-02-15,2025-02-16
COP 302.400,Hotel Omaga El peñol- Guatape,"Puntuación: 9,0
9,0
Fantástico
4 comentarios","EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 189.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,8
7,8
Bien
22 comentarios",GUATAPÉ,2025-02-15,2025-02-16
COP 650.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,8
9,8
Excepcional
68 comentarios","EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 487.500,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,5
9,5
Excepcional
137 comentarios","EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 1.400.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 8,4
8,4
Muy bien
86 comentarios","EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 490.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 9,8
9,8
Excepcional
68 comentarios","EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 440.000,Finca La Marina El peñol Guatape,"Puntuación: 9,5
9,5
Excepcional
137 comentarios","EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 1.059.840,Mirador del Lago Hotel,"Puntuación: 8,9
8,9
Fabuloso
972 comentarios",EL PEÑOL,2025-02-15,2025-02-16
COP 350.000,Villas Guatapé,"Puntuación: 9,5
9,5
Excepcional
2 comentarios",El peñol ,2025-02-15,2025-02-16
COP 222.600,Hotel Z3 Pereira,"Puntuación: 8,0
8,0
Muy bien
454 comentarios",Pereira,2025-02-15,2025-02-16
