precio,nombre,calificacion,ciudad,check_in,check_out
COP 377.600,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,5
9,5
Excepcional
100 comentarios reales",Mariquita,2025-02-04,2025-02-05
COP 784.720,Domus Glamping Guatapé,"Puntuación: 9,5
9,5
Excepcional
86 comentarios reales","EL PEÑOL, GUATAPÉ",2025-02-04,2025-02-05
COP 322.000,1714 Hotel Boutique Guatapé,"Puntuación: 9,1
9,1
Fantástico
170 comentarios reales","EL PEÑOL, GUATAPÉ",2025-02-04,2025-02-05
COP 176.400,Hotel Spa Bliss Guatape,"Puntuación: 8,6
8,6
Fabuloso
23 comentarios reales",GUATAPÉ,2025-02-04,2025-02-05
COP 803.260,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,3
8,3
Muy bien
20 comentarios reales","MARINILLA, ANTIOQUIA",2025-02-04,2025-02-05
COP 350.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
5 comentarios reales",GUATAPÉ,2025-02-04,2025-02-05
COP 319.000,"Marina Navegar- El peñol, Guatape","Puntuación: 7,7
7,7
Bien
23 comentarios reales","El peñol, Guatapé",2025-02-04,2025-02-05
COP 302.400,Hotel Omaga El peñol- Guatape,"Puntuación: 9,0
9,0
Fantástico
4 comentarios reales","EL PEÑOL, GUATAPÉ",2025-02-04,2025-02-05
COP 168.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,8
7,8
Bien
22 comentarios reales",GUATAPÉ,2025-02-04,2025-02-05
COP 575.580,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,4
9,4
Fantástico
359 comentarios reales","EL PEÑOL, GUATAPÉ",2025-02-04,2025-02-05
COP 460.460,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,4
9,4
Fantástico
359 comentarios reales","EL PEÑOL, GUATAPÉ",2025-02-04,2025-02-05
COP 1.400.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 9,4
9,4
Fantástico
359 comentarios reales","EL PEÑOL, GUATAPÉ",2025-02-04,2025-02-05
COP 600.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 9,4
9,4
Fantástico
359 comentarios reales","EL PEÑOL, GUATAPÉ",2025-02-04,2025-02-05
COP 441.000,Finca La Marina El peñol Guatape,"Puntuación: 9,4
9,4
Fantástico
359 comentarios reales","EL PEÑOL, GUATAPÉ",2025-02-04,2025-02-05
COP 863.220,Mirador del Lago Hotel,"Puntuación: 8,9
8,9
Fabuloso
959 comentarios reales",EL PEÑOL,2025-02-04,2025-02-05
COP 350.000,Villas Guatapé,"Puntuación: 10
10
Excepcional
1 comentario real",El peñol ,2025-02-04,2025-02-05
COP 266.960,Hotel Z3,"Puntuación: 8,0
8,0
Muy bien
445 comentarios reales",Pereira,2025-02-04,2025-02-05
