precio,nombre,calificacion,ciudad,check_in,check_out
COP 327.600,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,2
9,2
Fantástico
99 comentarios",Mariquita,2024-11-29,2024-11-30
COP 1.050.000,Domus Glamping Guatapé,"Puntuación: 9,4
9,4
Fantástico
88 comentarios","EL PEÑOL, GUATAPÉ",2024-11-29,2024-11-30
COP 434.000,1714 Hotel Boutique Guatapé,"Puntuación: 9,3
9,3
Fantástico
160 comentarios","EL PEÑOL, GUATAPÉ",2024-11-29,2024-11-30
COP 252.000,Hotel Spa Bliss Guatape,"Puntuación: 9,8
9,8
Excepcional
5 comentarios",GUATAPÉ,2024-11-29,2024-11-30
COP 608.000,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2024-11-29,2024-11-30
COP 280.000,Hotel Hobbit el peñol Guatapé,"Puntuación: 9,7
9,7
Excepcional
133 comentarios",GUATAPÉ,2024-11-29,2024-11-30
COP 319.000,"Cabañas Navegar- El peñol, Guatape","Puntuación: 8,3
8,3
Muy bien
14 comentarios","El peñol, Guatapé",2024-11-29,2024-11-30
COP 352.800,Hotel Omaga El peñol- Guatape,"Puntuación: 10
10
Excepcional
2 comentarios","EL PEÑOL, GUATAPÉ",2024-11-29,2024-11-30
COP 189.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,3
7,3
Bien
12 comentarios",GUATAPÉ,2024-11-29,2024-11-30
COP 260.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
61 comentarios","EL PEÑOL, GUATAPÉ",2024-11-29,2024-11-30
COP 560.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,7
9,7
Excepcional
133 comentarios","EL PEÑOL, GUATAPÉ",2024-11-29,2024-11-30
COP 1.250.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 9,7
9,7
Excepcional
133 comentarios","EL PEÑOL, GUATAPÉ",2024-11-29,2024-11-30
COP 680.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 9,7
9,7
Excepcional
133 comentarios","EL PEÑOL, GUATAPÉ",2024-11-29,2024-11-30
COP 440.000,Finca La Marina El peñol Guatape,"Puntuación: 9,7
9,7
Excepcional
133 comentarios","EL PEÑOL, GUATAPÉ",2024-11-29,2024-11-30
COP 1.450.600,Hotel Del Lago,"Puntuación: 7,8
7,8
Bien
522 comentarios","EL PEÑOL, GUATAPÉ",2024-11-29,2024-11-30
