precio,nombre,calificacion,ciudad,check_in,check_out
COP 381.600,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,2
9,2
Fantástico
99 comentarios",Mariquita,2024-11-22,2024-11-23
COP 1.011.120,Domus Glamping Guatapé,"Puntuación: 9,4
9,4
Fantástico
88 comentarios","EL PEÑOL, GUATAPÉ",2024-11-22,2024-11-23
COP 322.000,1714 Hotel Boutique Guatapé,"Puntuación: 9,3
9,3
Fantástico
159 comentarios","EL PEÑOL, GUATAPÉ",2024-11-22,2024-11-23
COP 210.000,Hotel Spa Bliss Guatape,"Puntuación: 9,8
9,8
Excepcional
5 comentarios",GUATAPÉ,2024-11-22,2024-11-23
COP 608.000,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2024-11-22,2024-11-23
COP 331.940,Hobbit Hotel Ecolodge- Guatapé,"Puntuación: 10
10
Excepcional
76 comentarios",GUATAPÉ,2024-11-22,2024-11-23
COP 319.000,"Cabañas Navegar- El peñol, Guatape","Puntuación: 8,3
8,3
Muy bien
14 comentarios","El peñol, Guatapé",2024-11-22,2024-11-23
COP 352.800,Hotel Omaga El peñol- Guatape,"Puntuación: 10
10
Excepcional
2 comentarios","EL PEÑOL, GUATAPÉ",2024-11-22,2024-11-23
COP 189.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,3
7,3
Bien
12 comentarios",GUATAPÉ,2024-11-22,2024-11-23
COP 286.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
61 comentarios","EL PEÑOL, GUATAPÉ",2024-11-22,2024-11-23
COP 440.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 8,6
8,6
Fabuloso
462 comentarios","EL PEÑOL, GUATAPÉ",2024-11-22,2024-11-23
COP 1.200.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 8,6
8,6
Fabuloso
462 comentarios","EL PEÑOL, GUATAPÉ",2024-11-22,2024-11-23
COP 500.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 8,6
8,6
Fabuloso
462 comentarios","EL PEÑOL, GUATAPÉ",2024-11-22,2024-11-23
COP 990.000,"Finca en Guatapé a solo minutos de la piedra, con Jacuzzi & piscina","Puntuación: 9,2
9,2
Fantástico
13 comentarios","EL PEÑOL, GUATAPÉ",2024-11-22,2024-11-23
