nombre,precio,calificacion,ciudad,check_in,check_out
Hotel Brisas La Gaviota Mariquit-Tolima,COP 142.680,"Puntuación: 9,1
9,1
Fantástico
97 comentarios",Mariquita,2024-11-10,2024-11-11
Domus Olea Glamping,,,"EL PEÑOL, GUATAPÉ",2024-11-10,2024-11-11
1714 Hotel Boutique Guatapé,COP 504.000,"Puntuación: 9,3
9,3
Fantástico
157 comentarios","EL PEÑOL, GUATAPÉ",2024-11-10,2024-11-11
Hotel Spa Bliss Guatape,COP 132.060,"Puntuación: 9,7
9,7
Excepcional
3 comentarios",GUATAPÉ,2024-11-10,2024-11-11
Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,COP 283.320,"Puntuación: 8,8
8,8
Fabuloso
19 comentarios","MARINILLA, ANTIOQUIA",2024-11-10,2024-11-11
Hobbit Hotel Ecolodge- Guatapé,COP 140.000,"Puntuación: 10
10
Excepcional
76 comentarios",GUATAPÉ,2024-11-10,2024-11-11
