precio,nombre,calificacion,competidor,ciudad,check_in,check_out
COP 416.240,El Tropico Boutique Hotel,"Puntuación: 9,2
9,2
Fantástico
1.381 comentarios",Arvum Hotel Boutique,El peñol,2025-05-01,2025-05-02
COP 103.300,Eden Hotel,"Puntuación: 8,7
8,7
Fabuloso
40 comentarios",Eden Hotel ,El peñol,2025-05-01,2025-05-02
COP 103.300,Hotel La Magdalena Adult Only,"Puntuación: 9,2
9,2
Fantástico
185 comentarios",Hotel La Magdalena Adult Only,"EL PEÑOL, GUATAPÉ",2025-05-01,2025-05-02
COP 103.300,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
7 comentarios",Hotel Mansión Guatapé,"EL PEÑOL, GUATAPÉ",2025-05-01,2025-05-02
COP 475.380,Finca Santa Maria de las Cañadas,"Puntuación: 9,2
9,2
Fantástico
15 comentarios",Santa Maria de las Aguas  peñol,El peñol,2025-05-01,2025-05-02
COP 103.300,Tau House,"Puntuación: 9,4
9,4
Fantástico
374 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2025-05-01,2025-05-02
COP 103.300,Vivanti Resort,"Puntuación: 9,0
9,0
Fantástico
158 comentarios",Vivanti Resort,GUATAPÉ,2025-05-01,2025-05-02
COP 103.300,Cabaña El peñol Guatape,"Puntuación: 7,9
7,9
Bien
822 comentarios",Atma Eco Village,"EL PEÑOL, GUATAPÉ",2025-05-01,2025-05-02
COP 103.300,Bethel Lozana Guatape,"Puntuación: 8,4
8,4
Muy bien
76 comentarios",Bethel Lozana Guatape,"EL PEÑOL, GUATAPÉ",2025-05-01,2025-05-02
COP 103.300,Bosko,"Puntuación: 9,1
9,1
Fantástico
261 comentarios",Bosko,GUATAPÉ,2025-05-01,2025-05-02
COP 103.300,Breeze Glamping -Guatape,"Puntuación: 9,8
9,8
Excepcional
72 comentarios",BubbleSky Glamping Guatapé,"EL PEÑOL, GUATAPÉ",2025-05-01,2025-05-02
COP 103.300,Glamping The Mountain,"Puntuación: 9,0
9,0
Fantástico
168 comentarios",Glamping The Mountain,"EL PEÑOL, GUATAPÉ",2025-05-01,2025-05-02
COP 659.180,Ibuku Hotel Guatapé - Chalets,"Puntuación: 8,6
8,6
Fabuloso
67 comentarios",Ibuku Hotel Guatapé - Chalets,"EL PEÑOL, GUATAPÉ",2025-05-01,2025-05-02
COP 103.300,La Pausa Hotelbistro,"Puntuación: 9,6
9,6
Excepcional
393 comentarios",La Pausa Hotelbistro,"EL PEÑOL, GUATAPÉ",2025-05-01,2025-05-02
COP 103.300,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,2
9,2
Fantástico
60 comentarios",Levit Glamping - Hotel Guatapé Peñol,"EL PEÑOL, GUATAPÉ",2025-05-01,2025-05-02
COP 103.300,Luxé Cabañas,"Puntuación: 8,2
8,2
Muy bien
1.020 comentarios",Luxé Cabañas,"EL PEÑOL, GUATAPÉ",2025-05-01,2025-05-02
COP 892.500,Tau House,"Puntuación: 9,4
9,4
Fantástico
374 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2025-05-01,2025-05-02
COP 103.300,The Boato Hotel,"Puntuación: 9,0
9,0
Fantástico
1.111 comentarios",The Boato Hotel,"EL PEÑOL, GUATAPÉ",2025-05-01,2025-05-02
COP 103.300,El Trebol,"Puntuación: 9,6
9,6
Excepcional
248 comentarios",El Trebol,GUATAPÉ,2025-05-01,2025-05-02
COP 103.300,Glamping La Cepa GUATAPÉ,"Puntuación: 9,5
9,5
Excepcional
22 comentarios",Glamping la Cepa GUATAPÉ,El peñol,2025-05-01,2025-05-02
COP 103.300,Hotel Pietrasanta,"Puntuación: 9,2
9,2
Fantástico
14 comentarios",Hotel Pietrasanta,GUATAPÉ,2025-05-01,2025-05-02
COP 103.300,Jordan Hotel Boutique,"Puntuación: 9,7
9,7
Excepcional
350 comentarios",Jordan Hotel Boutique,GUATAPÉ,2025-05-01,2025-05-02
COP 585.900,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,2
9,2
Fantástico
60 comentarios",Levit Glamping - Hotel Guatapé Peñol,GUATAPÉ,2025-05-01,2025-05-02
